review,rating,date,bank,source,cleaned_review,theme
Awosome!!!,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,awosome,Other
"Very good app,",5,2025-05-22,Commercial Bank of Ethiopia,Google Play,very good app,Other
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,sync problem may 22 2025 but the date stack on may 8 2025 help pls,Other
. this app is very nice,5,2025-05-22,Commercial Bank of Ethiopia,Google Play, this app is very nice,Other
I hate this app,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,i hate this app,Other
trustful,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,trustful,Other
I like,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,i like,Other
update issue,4,2025-05-22,Commercial Bank of Ethiopia,Google Play,update issue,Other
its not working over safari network,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,its not working over safari network,Other
oldie,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,oldie,Other
it doesn't work,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,it doesnt work,Other
"This app is good, and we are using it well",1,2025-05-21,Commercial Bank of Ethiopia,Google Play,this app is good and we are using it well,Other
very nice  app for android phone,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,very nice  app for android phone,Other
Yes Yes,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,yes yes,Other
easy to use helpful in my life,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,easy to use helpful in my life,Other
good,4,2025-05-21,Commercial Bank of Ethiopia,Google Play,good,Other
the best mobile banking app,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,the best mobile banking app,Other
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,Commercial Bank of Ethiopia,Google Play,this app is very useful appit saves timeand it is secure,Other
it's a good application,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,its a good application,Other
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,Commercial Bank of Ethiopia,Google Play,the screenshot and the reffresh options are so annoying that makes transaction so delaying activity ,Other
poor service,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,poor service,Other
amazing,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,amazing,Other
it is reliable and easy to use.,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,it is reliable and easy to use,Other
the most annoying mobile banking app I've ever seen,1,2025-05-20,Commercial Bank of Ethiopia,Google Play,the most annoying mobile banking app ive ever seen,Other
Cbe mobile banking,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,cbe mobile banking,Other
"i can't make Screenshout in this app, please made modification",5,2025-05-20,Commercial Bank of Ethiopia,Google Play,i cant make screenshout in this app please made modification,Other
Best app I loved it,5,2025-05-19,Commercial Bank of Ethiopia,Google Play,best app i loved it,Other
nice app,5,2025-05-19,Commercial Bank of Ethiopia,Google Play,nice app,Other
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,amazing applicatiom sometimes doesnt work,Other
well satisfied with this beautiful app,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,well satisfied with this beautiful app,Other
very good,4,2025-05-17,Commercial Bank of Ethiopia,Google Play,very good,Other
best app.,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,best app,Other
"not working,why???",5,2025-05-17,Commercial Bank of Ethiopia,Google Play,not workingwhy,Other
Great impact but why Developer option turnoff if you fix,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,great impact but why developer option turnoff if you fix,Other
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,Commercial Bank of Ethiopia,Google Play,always disappointing  especially the ios one  some similar local applications are extremely superior to this application really disappointing,Other
woxe harimo ribiso,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,woxe harimo ribiso,Other
"Good ,easy to use",5,2025-05-16,Commercial Bank of Ethiopia,Google Play,good easy to use,Other
Good app,5,2025-05-15,Commercial Bank of Ethiopia,Google Play,good app,Other
Good job,5,2025-05-14,Commercial Bank of Ethiopia,Google Play,good job,Other
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,Commercial Bank of Ethiopia,Google Play,please kindly ask to update the app and allow us to screenshot its convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen,Other
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,Commercial Bank of Ethiopia,Google Play,i have using the cbe mobile banking app and overall i appreciate its feuteres however ive notticed that when i turn on the developer options on my divice the appstop functioning prorerly itwould be great if you could look into this issue as l often need to access developer setting for otter application thankyou for your attention to this matter,Other
customer service is bad nothing is good about this bank,1,2025-05-13,Commercial Bank of Ethiopia,Google Play,customer service is bad nothing is good about this bank,Other
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,Commercial Bank of Ethiopia,Google Play,it is amazing mobile banking appbut why the screenshot of the receipt doesnt work,Other
fast and simple easy to use,5,2025-05-12,Commercial Bank of Ethiopia,Google Play,fast and simple easy to use,Other
The fastest transferring app I ever had its so reliable,5,2025-05-11,Commercial Bank of Ethiopia,Google Play,the fastest transferring app i ever had its so reliable,Other
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,Commercial Bank of Ethiopia,Google Play,funds transferred from the same bank do not reflect in the account even though a confirmation text message was received,Other
it's easy and fast,5,2025-05-10,Commercial Bank of Ethiopia,Google Play,its easy and fast,Other
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,Commercial Bank of Ethiopia,Google Play,this app dont have self activation only you have to look near cbe branch thats disgusting,Other
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,Commercial Bank of Ethiopia,Google Play,hello dearest cbe office personnel make some benefits for those using interest free accounts thanks for your help,Other
wow best application ever,5,2025-05-09,Commercial Bank of Ethiopia,Google Play,wow best application ever,Other
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,Commercial Bank of Ethiopia,Google Play,am sorry but what does developer mode do to the application  hack it  are you sure you are developer or are you stupid doesnt makes sense,Other
the pride of Ethiopian bank,5,2025-05-08,Commercial Bank of Ethiopia,Google Play,the pride of ethiopian bank,Other
why the app telling me to turn of developer options please fix it.,1,2025-05-07,Commercial Bank of Ethiopia,Google Play,why the app telling me to turn of developer options please fix it,Other
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,Commercial Bank of Ethiopia,Google Play,i am very happy  i have small prob after i transfer i cant put the transfer cashe bil to my dic,Other
amazing apps,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,amazing apps,Other
All service of Mobile Banking,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,all service of mobile banking,Other
needs improvement,1,2025-05-06,Commercial Bank of Ethiopia,Google Play,needs improvement,Other
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,Commercial Bank of Ethiopia,Google Play,i miss the old one i couldnt send my mony to other bank,Other
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,Commercial Bank of Ethiopia,Google Play,the app is recently crushing each time you open and try to make transfersit used to be good take lessons from the dashen super app or ethiotelecom it is not befitting of your experience and glory inv3st in making it more friendly and convenient i am considering leaving cbe for good,Other
good but these week not oky,4,2025-05-06,Commercial Bank of Ethiopia,Google Play,good but these week not oky,Other
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,well designed fixing bugs  two step verification with biometric simply its great,Other
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,Commercial Bank of Ethiopia,Google Play,if any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times,Other
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,Commercial Bank of Ethiopia,Google Play,its a great jobbut one more thing it hasnt been placed for transfer to other banks on face like mobile charge card place,Other
CBE mobilr bankg,5,2025-05-05,Commercial Bank of Ethiopia,Google Play,cbe mobilr bankg,Other
verygood,3,2025-05-05,Commercial Bank of Ethiopia,Google Play,verygood,Other
it's very low quality application,1,2025-05-04,Commercial Bank of Ethiopia,Google Play,its very low quality application,Other
Very Amazing Apps,5,2025-05-04,Commercial Bank of Ethiopia,Google Play,very amazing apps,Other
wow simple life,5,2025-05-04,Commercial Bank of Ethiopia,Google Play,wow simple life,Other
it's nice,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,its nice,Other
Why stacked sometimes,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,why stacked sometimes,Other
okay  but sometimes busy,1,2025-05-03,Commercial Bank of Ethiopia,Google Play,okay  but sometimes busy,Other
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,Commercial Bank of Ethiopia,Google Play,the worst commercial company that fails to do even the most normal things again and and again,Other
Very good app. but disappointed by general cessation of system.,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,very good app but disappointed by general cessation of system,Other
Good and fast,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,good and fast,Other
Unreliable!,1,2025-05-02,Commercial Bank of Ethiopia,Google Play,unreliable,Other
Best the best fast,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,best the best fast,Other
happy,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,happy,Other
fast and reliable,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,fast and reliable,Other
network errorrrrrr,2,2025-05-02,Commercial Bank of Ethiopia,Google Play,network errorrrrrr,Other
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,Commercial Bank of Ethiopia,Google Play,best app but there is some problem i cant send money to telebirr or mpesa so if you can add that it could be use full,Other
its good and simple to use,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,its good and simple to use,Other
worest app like that bank for security and network access,1,2025-05-02,Commercial Bank of Ethiopia,Google Play,worest app like that bank for security and network access,Other
it's the best app i,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,its the best app i,Other
not bad not good,1,2025-05-02,Commercial Bank of Ethiopia,Google Play,not bad not good,Other
its very nice,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,its very nice,Other
do not work this week,3,2025-04-30,Commercial Bank of Ethiopia,Google Play,do not work this week,Other
It crashes frequently,4,2025-04-30,Commercial Bank of Ethiopia,Google Play,it crashes frequently,Other
the best,5,2025-04-28,Commercial Bank of Ethiopia,Google Play,the best,Other
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,Commercial Bank of Ethiopia,Google Play,i can simply describe this app as making all your work easier,Other
goid,5,2025-04-28,Commercial Bank of Ethiopia,Google Play,goid,Other
best appearance,5,2025-04-27,Commercial Bank of Ethiopia,Google Play,best appearance,Other
it's very good  app,5,2025-04-27,Commercial Bank of Ethiopia,Google Play,its very good  app,Other
I need support you,5,2025-04-27,Commercial Bank of Ethiopia,Google Play,i need support you,Other
the worst Mobile banking i have ever seen in my life,1,2025-04-26,Commercial Bank of Ethiopia,Google Play,the worst mobile banking i have ever seen in my life,Other
super,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,super,Other
i like the app,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,i like the app,Other
the Best,1,2025-04-26,Commercial Bank of Ethiopia,Google Play,the best,Other
to other bank is bad,1,2025-04-25,Commercial Bank of Ethiopia,Google Play,to other bank is bad,Other
tank's,5,2025-04-25,Commercial Bank of Ethiopia,Google Play,tanks,Other
its good but add more features such like. bank statement showing,5,2025-04-24,Commercial Bank of Ethiopia,Google Play,its good but add more features such like bank statement showing,Other
it is so nice,5,2025-04-24,Commercial Bank of Ethiopia,Google Play,it is so nice,Other
Very Good,5,2025-04-21,Commercial Bank of Ethiopia,Google Play,very good,Other
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,Commercial Bank of Ethiopia,Google Play,my first frequent experience of cbe app is criticaltime failure such as suspending payment on air for 25 days with zero explanation deducting from sender account without depositing to the receiver act another fatal error by the banking company as a whole not the app itself though is forcedbanking with corporations without consent of employersusers of the corresponding corporations,Other
"wow, amazing app",5,2025-04-21,Commercial Bank of Ethiopia,Google Play,wow amazing app,Other
use ful,5,2025-04-21,Commercial Bank of Ethiopia,Google Play,use ful,Other
Great app,5,2025-04-21,Commercial Bank of Ethiopia,Google Play,great app,Other
well app,5,2025-04-20,Commercial Bank of Ethiopia,Google Play,well app,Other
Actually it is inactive,4,2025-04-19,Commercial Bank of Ethiopia,Google Play,actually it is inactive,Other
"slow, only one account is used",2,2025-04-19,Commercial Bank of Ethiopia,Google Play,slow only one account is used,Other
always CBE is the leading Commercial Bank,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,always cbe is the leading commercial bank,Other
i like it,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,i like it,Other
why removing screenshot feature why?,1,2025-04-18,Commercial Bank of Ethiopia,Google Play,why removing screenshot feature why,Other
nice apps where network is good in connection,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,nice apps where network is good in connection,Other
Thank you!!!,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,thank you,Other
i can't take screenshot,1,2025-04-18,Commercial Bank of Ethiopia,Google Play,i cant take screenshot,Other
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,Commercial Bank of Ethiopia,Google Play,every update was made the system better and better until the march 19th 2025 update not allowing us to screenshot you guys didnt understand how much its a really quick and significant thing you add extra steps to us which makes the process draw back,Other
perfectly special,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,perfectly special,Other
Fast and Reliable,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,fast and reliable,Other
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,Commercial Bank of Ethiopia,Google Play,the best application i have ever seen in ethiopia banking industry,Other
great app!!!,5,2025-04-17,Commercial Bank of Ethiopia,Google Play,great app,Other
because sometimes it doesn't working it load too much,3,2025-04-17,Commercial Bank of Ethiopia,Google Play,because sometimes it doesnt working it load too much,Other
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,Commercial Bank of Ethiopia,Google Play,absolutely the best app it works flawlessly anytime and anywhere,Other
very nice app ever!!!,5,2025-04-16,Commercial Bank of Ethiopia,Google Play,very nice app ever,Other
the best app,5,2025-04-16,Commercial Bank of Ethiopia,Google Play,the best app,Other
Biometric security for mobile banking is not available,5,2025-04-16,Commercial Bank of Ethiopia,Google Play,biometric security for mobile banking is not available,Other
great,5,2025-04-15,Commercial Bank of Ethiopia,Google Play,great,Other
Nice service,5,2025-04-15,Commercial Bank of Ethiopia,Google Play,nice service,Other
great app,5,2025-04-15,Commercial Bank of Ethiopia,Google Play,great app,Other
it's special apps,5,2025-04-15,Commercial Bank of Ethiopia,Google Play,its special apps,Other
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,Commercial Bank of Ethiopia,Google Play,in the updated version of the app it takes more time to download the receipt,Other
?,3,2025-04-14,Commercial Bank of Ethiopia,Google Play,,Other
Good,5,2025-04-14,Commercial Bank of Ethiopia,Google Play,good,Other
very interesting app i am using every day fantastic,5,2025-04-14,Commercial Bank of Ethiopia,Google Play,very interesting app i am using every day fantastic,Other
lebaa bank,5,2025-04-14,Commercial Bank of Ethiopia,Google Play,lebaa bank,Other
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,Commercial Bank of Ethiopia,Google Play,cant scanrecognize other banks interoperable qr codes,Other
OK,5,2025-04-13,Commercial Bank of Ethiopia,Google Play,ok,Other
grateful app,5,2025-04-13,Commercial Bank of Ethiopia,Google Play,grateful app,Other
100%,5,2025-04-13,Commercial Bank of Ethiopia,Google Play,100,Other
everthing wellbeok,3,2025-04-13,Commercial Bank of Ethiopia,Google Play,everthing wellbeok,Other
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-13,Commercial Bank of Ethiopia,Google Play,this mobile banking app is fast and userfriendly but the only issue i encountered is that i cant access my bank statement within the app i kindly request that this feature be added similar to what is offered by other private bank mobile banking apps,Other
nice app,5,2025-04-12,Commercial Bank of Ethiopia,Google Play,nice app,Other
why did this app is not screenshot,5,2025-04-12,Commercial Bank of Ethiopia,Google Play,why did this app is not screenshot,Other
it so good app,5,2025-04-12,Commercial Bank of Ethiopia,Google Play,it so good app,Other
"less network, specially to make fee for utility purpose",1,2025-04-11,Commercial Bank of Ethiopia,Google Play,less network specially to make fee for utility purpose,Other
simply for used,4,2025-04-11,Commercial Bank of Ethiopia,Google Play,simply for used,Other
wow keep up,5,2025-04-10,Commercial Bank of Ethiopia,Google Play,wow keep up,Other
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,Commercial Bank of Ethiopia,Google Play,its great app but when updating we cant take screen shot please try to fix it,Other
good one,5,2025-04-10,Commercial Bank of Ethiopia,Google Play,good one,Other
everything is easy thank you cebe,5,2025-04-10,Commercial Bank of Ethiopia,Google Play,everything is easy thank you cebe,Other
but this app says can't sync,5,2025-04-09,Commercial Bank of Ethiopia,Google Play,but this app says cant sync,Other
waw,5,2025-04-09,Commercial Bank of Ethiopia,Google Play,waw,Other
to slow,3,2025-04-09,Commercial Bank of Ethiopia,Google Play,to slow,Other
work on screen shot system,4,2025-04-08,Commercial Bank of Ethiopia,Google Play,work on screen shot system,Other
very very nice aplication,1,2025-04-08,Commercial Bank of Ethiopia,Google Play,very very nice aplication,Other
wonder full and it is easy to use,5,2025-04-08,Commercial Bank of Ethiopia,Google Play,wonder full and it is easy to use,Other
easy and reliable,2,2025-04-08,Commercial Bank of Ethiopia,Google Play,easy and reliable,Other
it is Very Useful app,5,2025-04-07,Commercial Bank of Ethiopia,Google Play,it is very useful app,Other
perfect app,5,2025-04-07,Commercial Bank of Ethiopia,Google Play,perfect app,Other
